district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page
BEED,BEED,134779.0,15226.3,9767.1,64.1,safe,202
BEED,DHARUR,23576.0,2852.9,1545.3,54.2,safe,202
BEED,GEVRAI,147921.0,17533.4,11894.7,67.8,safe,202
BEED,KAIJ,132030.0,14161.6,9049.4,63.9,safe,202
BEED,MAJALGAON,92096.0,11737.5,6548.9,55.8,safe,202
BEED,PARLI,63526.0,11301.1,4268.6,37.8,safe,202
BEED,PATODA,72377.0,8424.3,5685.4,67.5,safe,202
BEED,SHIRUR KA,61407.0,6883.4,4103.7,59.6,safe,202
BEED,WADVANI,73989.0,9041.0,4592.3,50.8,safe,202
BHANDARA,BHANDARA,63776.0,8289.4,3529.1,42.6,safe,202
BHANDARA,LAKHANDUR,45038.0,36831.0,3182.2,8.6,safe,202
BHANDARA,LAKHANI,46600.0,5816.2,3181.0,54.7,safe,202
BHANDARA,MOHADI,51494.0,5818.2,3312.2,56.9,safe,202
BHANDARA,PAUNI,64046.0,14969.2,5488.6,36.7,safe,202
BHANDARA,SAKOLI,53420.0,6880.7,3590.1,52.2,safe,202
BHANDARA,TUMSAR,72123.0,8215.6,3951.9,48.1,safe,202
BULDHANA,BULDHANA,60748.0,7567.0,6313.3,83.4,semi_critical,202
BULDHANA,CHIKHALI,93581.0,10897.6,8393.6,77.0,semi_critical,202
BULDHANA,DEULGAON RAJA,44866.0,5618.8,4342.0,77.3,semi_critical,203
BULDHANA,JALGAON,54218.0,5200.2,6029.1,115.9,over_exploited,203
BULDHANA,KHAMGAON,96087.0,10098.1,6918.2,68.5,safe,203
BULDHANA,LONAR,57912.0,7345.1,4759.7,64.8,safe,203
BULDHANA,MALAKAPUR,44372.0,4806.5,3623.2,75.4,semi_critical,203
BULDHANA,MEHKAR,90285.0,10741.4,6605.6,61.5,safe,203
BULDHANA,MOTALA,56018.0,5379.6,4241.1,78.8,semi_critical,203
BULDHANA,NANDURA,53625.0,4976.3,3944.6,79.3,semi_critical,203
BULDHANA,SANGRAMPUR,51627.0,4122.1,4743.1,115.1,over_exploited,203
BULDHANA,SHEGAON,50979.0,3177.3,1821.3,57.3,safe,203
BULDHANA,SINDKHEDRAJA,66297.0,8036.5,5956.8,74.1,semi_critical,203
CHANDRAPUR,BALLARPUR,43059.0,5749.5,1018.9,17.7,safe,203
CHANDRAPUR,BHADRAVATI,142621.0,13208.3,2917.7,22.1,safe,203
CHANDRAPUR,BRAHMAPURI,72363.0,7497.6,3287.9,43.9,safe,203
CHANDRAPUR,CHANDRAPUR,94061.0,9868.2,2111.9,21.4,safe,203
CHANDRAPUR,CHIMMUR,64777.0,5660.5,2521.9,44.6,safe,203
CHANDRAPUR,GONDPIPRI,73430.0,7161.5,1817.9,25.4,safe,203
CHANDRAPUR,JIWATI,43178.0,3235.7,1038.9,32.1,safe,203
CHANDRAPUR,KORPANA,43159.0,2544.2,791.3,31.1,safe,203
CHANDRAPUR,MUL,40572.0,5250.2,1683.8,32.1,safe,203
CHANDRAPUR,NAGBHIND,65337.0,8682.1,2887.9,33.3,safe,203
CHANDRAPUR,POBHURNA,36463.0,4467.1,1236.1,27.7,safe,203
CHANDRAPUR,RAJURA,82548.0,7321.3,1958.5,26.8,safe,203
CHANDRAPUR,SAWALI,59050.0,8303.7,2025.3,24.4,safe,203
CHANDRAPUR,SINDEWALI,78649.0,10351.7,3337.9,32.2,safe,204
CHANDRAPUR,WARORA,108390.0,11600.9,3884.3,33.5,safe,204
DHULE,DHULE,182626.0,18976.2,11396.0,60.1,safe,204
